"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,49.6426910214872,5.24604575000744
"2",2022-03-08 00:00:05,1,303,100,49.8773619345367,5.43876799025468
"3",2022-03-08 00:00:10,1,303,100,49.6539550076415,5.08526199278583
"4",2022-03-08 00:00:15,1,303,100,52.0597203759048,5.5617461315626
"5",2022-03-08 00:00:20,1,303,100,53.2713333387223,5.39076295613964
"6",2022-03-08 00:00:25,1,303,100,51.9817851964413,5.24914568469494
"7",2022-03-08 00:00:30,1,303,100,52.4980726316062,5.42164029766859
"8",2022-03-08 00:00:35,1,303,100,51.7740715281472,6.03965047294948
"9",2022-03-08 00:00:40,1,303,100,52.0456117321805,5.21514462281198
"10",2022-03-08 00:00:45,1,303,100,51.723959185269,5.61558763460791
"11",2022-03-08 00:00:50,1,303,100,51.7704862747333,5.07083755596338
"12",2022-03-08 00:00:55,1,303,100,52.8062743550265,5.50559604056224
"13",2022-03-08 00:01:00,1,303,100,52.2390633844445,5.32712246166685
"14",2022-03-08 00:01:05,1,303,100,50.7055768494893,5.40813827981611
"15",2022-03-08 00:01:10,1,303,100,50.4676888976729,6.00494746579854
"16",2022-03-08 00:01:15,1,303,100,51.7580815990957,5.6425168743037
"17",2022-03-08 00:01:20,1,303,100,51.9982798566273,5.73160024045953
"18",2022-03-08 00:01:25,1,303,100,49.9489645594887,5.23275262064951
"19",2022-03-08 00:01:30,1,303,100,51.7690798450523,5.32522083063803
"20",2022-03-08 00:01:35,1,303,100,51.3404762388668,5.36285603943765
"21",2022-03-08 00:01:40,1,303,100,51.7422375564482,5.88965325643097
"22",2022-03-08 00:01:45,1,303,100,51.810450287586,5.45512029813519
"23",2022-03-08 00:01:50,1,303,100,51.9915734901947,5.89353138063683
"24",2022-03-08 00:01:55,1,303,100,52.3703893756876,5.53277008512862
"25",2022-03-08 00:02:00,1,303,100,51.1200501026316,5.70354840469537
"26",2022-03-08 00:02:05,1,303,100,50.6574026062214,5.03571307236235
"27",2022-03-08 00:02:10,1,303,100,50.1915665284428,6.36160221302163
"28",2022-03-08 00:02:15,1,303,100,50.8352124796694,5.33362519057354
"29",2022-03-08 00:02:20,1,303,100,50.4125771940376,5.0714438258782
"30",2022-03-08 00:02:25,1,303,100,51.8270924516374,5.2517359333605
"31",2022-03-08 00:02:30,1,303,100,52.0420194981375,5.19224207739626
"32",2022-03-08 00:02:35,1,303,100,51.3944336370113,5.55051276418652
"33",2022-03-08 00:02:40,1,303,100,52.7143844589754,6.1680802854462
"34",2022-03-08 00:02:45,1,303,100,52.222918824485,5.09933143947136
"35",2022-03-08 00:02:50,1,303,100,52.7741217157109,5.4683111007589
"36",2022-03-08 00:02:55,1,303,100,50.7206982367201,5.50426796924391
"37",2022-03-08 00:03:00,1,303,100,50.6095184013306,5.35976583353086
"38",2022-03-08 00:03:05,1,303,100,52.5982283565722,5.25548738191289
